Model,Accuracy,Precision,Recall,F1-Score,AUC,CV_Mean,CV_Std,Training_Time
RBF_Default,0.9798938843898353,0.9794392301118705,0.9798938843898353,0.9793654794678962,0.9532963943226891,0.9782122905027932,0.0021591654795726878,0.338987
Linear_Default,0.9793353811784418,0.9789607463026052,0.9793353811784418,0.9785953440164455,0.9710333050917352,0.9787709497206704,0.002028748470158361,0.306486
Poly_Degree2,0.9762636135157777,0.9760467439576019,0.9762636135157777,0.9750345563887354,0.9304244487265039,0.9722067039106145,0.00188159128286419,0.369045
Poly_Degree3,0.9779391231499581,0.9774423669767225,0.9779391231499581,0.9771669548424027,0.9562673854528277,0.9759078212290504,0.0014813689549997636,0.550889
Sigmoid,0.8768500418877408,0.8746360809029622,0.8768500418877408,0.8757279266542602,0.8683016802501256,0.8709497206703911,0.006638119909673829,0.880394
LinearSVC_Default,0.9796146327841385,0.9792788835751309,0.9796146327841385,0.9788680221073035,0.9722451320732082,0.9779329608938546,0.0022991728537925245,0.00951
LinearSVC_L1,0.9796146327841385,0.9792788835751309,0.9796146327841385,0.9788680221073035,0.9722638764967422,0.9778631284916199,0.0022800038711333313,0.141062
NuSVC_RBF,0.9773806199385646,0.9772958499380272,0.9773806199385646,0.9762094007939712,0.9560855645445481,0.9746508379888269,0.002425105496394622,0.76853
NuSVC_Linear,0.9720748394303267,0.9727643586124534,0.9720748394303267,0.9698298275771303,0.9715459650753901,0.9690642458100559,0.0022585141939659263,0.769623
RBF_Tuned,0.9810108908126222,0.9806034952412525,0.9810108908126222,0.9805704613245244,0.9450928973630345,0.9789106145251397,0.0010022835261457718,1.113769
Linear_Tuned,0.980173135995532,0.9797693850183996,0.980173135995532,0.9795743225070411,0.9716218799907027,0.9789804469273744,0.0018919297743217802,0.861928
Poly_Tuned,0.980173135995532,0.979724625245409,0.980173135995532,0.9797284416073017,0.9573170731707316,0.9794692737430168,0.0017858536106905394,1.772448
RBF_Optimized,0.9812901424183189,0.9808946545091362,0.9812901424183189,0.9808705012350594,0.9436552000779769,0.9794692737430168,0.0016875762532953197,0.427815
Linear_Optimized,0.980173135995532,0.9797693850183996,0.980173135995532,0.9795743225070411,0.9716218799907027,0.9789804469273744,0.0018919297743217802,0.841277
Poly_Optimized,0.9796146327841385,0.9791592596597034,0.9796146327841385,0.9790310982937857,0.9538643503557692,0.9777234636871508,0.0016875762532953464,1.613121
LinearSVC_Optimized,0.9796146327841385,0.9792788835751309,0.9796146327841385,0.9788680221073035,0.9722451320732082,0.9779329608938546,0.0022991728537925245,0.009995
